frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
124,000124.png,-0.608051,-0.954886,3.602468,-9.580,14.648,0.000,-9.580,14.846,0.088
125,000125.png,-0.592546,-0.963847,3.633723,-9.262,14.670,0.000,-9.262,14.856,0.076
126,000126.png,-0.573269,-0.964136,3.634846,-8.963,14.682,0.000,-8.963,14.856,0.078
127,000127.png,-0.562138,-0.980452,3.690593,-8.661,14.715,0.000,-8.661,14.878,0.344
128,000128.png,-0.528783,-0.965283,3.644300,-8.256,14.688,0.000,-8.256,14.836,0.163
129,000129.png,-0.508755,-0.964290,3.640494,-7.955,14.699,0.000,-7.955,14.836,0.163
130,000130.png,-0.488775,-0.963311,3.636741,-7.655,14.710,0.000,-7.655,14.836,0.162
131,000131.png,-0.471613,-0.977477,3.692719,-7.278,14.712,0.000,-7.278,14.826,0.204
132,000132.png,-0.451943,-0.977611,3.693181,-6.977,14.722,0.000,-6.977,14.827,0.210
133,000133.png,-0.425681,-0.977740,3.693594,-6.574,14.734,0.000,-6.574,14.827,0.218
134,000134.png,-0.399278,-0.977650,3.693042,-6.171,14.745,0.000,-6.171,14.828,0.227
135,000135.png,-0.374417,-0.973382,3.675285,-5.817,14.761,0.000,-5.817,14.834,0.351
136,000136.png,-0.349483,-0.963109,3.643719,-5.479,14.741,0.000,-5.479,14.806,0.175
137,000137.png,-0.327906,-0.971540,3.668209,-5.108,14.778,0.000,-5.108,14.834,0.346
138,000138.png,-0.305744,-0.973760,3.677163,-4.753,14.783,0.000,-4.753,14.832,0.251
139,000139.png,-0.282205,-0.964489,3.636195,-4.438,14.813,0.000,-4.438,14.855,0.102
140,000140.png,-0.261570,-0.967059,3.646082,-4.103,14.818,0.000,-4.103,14.855,0.337
141,000141.png,-0.239452,-0.970907,3.666074,-3.737,14.803,0.000,-3.737,14.833,0.261
142,000142.png,-0.219650,-0.970083,3.662888,-3.432,14.808,0.000,-3.432,14.834,0.263
143,000143.png,-0.199867,-0.967015,3.646962,-3.137,14.829,0.000,-3.137,14.851,0.134
144,000144.png,-0.178816,-0.966263,3.643144,-2.810,14.837,0.000,-2.810,14.854,0.113
145,000145.png,-0.159380,-0.966547,3.644271,-2.504,14.841,0.000,-2.504,14.854,0.115
146,000146.png,-0.139930,-0.966811,3.645319,-2.198,14.844,0.000,-2.198,14.854,0.118
147,000147.png,-0.121164,-0.971700,3.668994,-1.891,14.826,0.000,-1.891,14.834,0.187
148,000148.png,-0.101595,-0.972230,3.671039,-1.585,14.828,0.000,-1.585,14.834,0.187
