   frame             x             y             z          roll         pitch           yaw
     205     -0.002493     -0.018563      4.133291     -0.281496     -0.082410   -135.034675
     206     -0.002493     -0.018563      4.133291     -0.285423     -0.067565   -132.034709
     207     -0.002493     -0.018563      4.133291     -0.285423     -0.067565   -132.034709
     208     -0.002493     -0.018563      4.133291     -0.285423     -0.067565   -132.034709
     209     -0.002493     -0.018563      4.133291     -0.288568     -0.052534   -129.034745
     210     -0.002493     -0.018563      4.133291     -0.288568     -0.052534   -129.034745
     211     -0.002493     -0.018563      4.133291     -0.288568     -0.052534   -129.034745
     212     -0.002493     -0.018563      4.133291     -0.290922     -0.037360   -126.034783
     213     -0.002493     -0.018563      4.133291     -0.290922     -0.037360   -126.034783
     214     -0.002493     -0.018563      4.133291     -0.290922     -0.037360   -126.034783
     215     -0.002493     -0.018563      4.133291     -0.292478     -0.022083   -123.034821
     216     -0.002493     -0.018563      4.133291     -0.292478     -0.022083   -123.034821
     217     -0.002493     -0.018563      4.133291     -0.293233     -0.006746   -120.034860
     218     -0.002493     -0.018563      4.133291     -0.293233     -0.006746   -120.034860
     219     -0.002493     -0.018563      4.133291     -0.293233     -0.006746   -120.034860
     220     -0.002493     -0.018563      4.133291     -0.293185      0.008610   -117.034900
     221     -0.002493     -0.018563      4.133291     -0.293185      0.008610   -117.034900
     222     -0.002493     -0.018563      4.133291     -0.292332      0.023942   -114.034939
     223     -0.002493     -0.018563      4.133291     -0.292332      0.023942   -114.034939
     224     -0.002493     -0.018563      4.133291     -0.292332      0.023942   -114.034939
     225     -0.002493     -0.018563      4.133291     -0.290678      0.039209   -111.034977
     226     -0.002493     -0.018563      4.133291     -0.290678      0.039209   -111.034977
     227     -0.002493     -0.018563      4.133291     -0.288228      0.054368   -108.035014
     228     -0.002493     -0.018563      4.133291     -0.288228      0.054368   -108.035014
     229     -0.002493     -0.018563      4.133291     -0.288228      0.054368   -108.035014
     230     -0.002493     -0.018563      4.133291     -0.284988      0.069378   -105.035050
