frame x y z roll pitch yaw
256 0.412556 1.303773 1.246510 0.000 0.000 -0.940
257 0.436942 1.304737 1.237957 0.000 0.000 -0.230
258 0.460822 1.305965 1.230697 0.000 0.000 0.480
259 0.484146 1.307427 1.224777 0.000 0.000 1.190
260 0.506866 1.309080 1.220232 0.000 0.000 1.880
261 0.528939 1.310877 1.217079 0.000 0.000 2.570
262 0.550327 1.312762 1.215321 0.000 0.000 3.240
263 0.570996 1.314672 1.214947 0.000 0.000 3.900
264 0.590921 1.316540 1.215933 0.000 0.000 4.550
265 0.610081 1.318297 1.218243 0.000 0.000 5.190
266 0.628462 1.319869 1.221830 0.000 0.000 5.810
267 0.646060 1.321183 1.226636 0.000 0.000 6.420
268 0.662873 1.322169 1.232596 0.000 0.000 7.020
269 0.678911 1.322758 1.239639 0.000 0.000 7.600
270 0.694186 1.322884 1.247686 0.000 0.000 8.170
271 0.708720 1.322491 1.256656 0.000 0.000 8.730
272 0.722539 1.321527 1.266464 0.000 0.000 9.280
273 0.735674 1.319951 1.277025 0.000 0.000 9.820
274 0.748160 1.317728 1.288251 0.000 0.000 10.350
275 0.760036 1.314836 1.300057 0.000 0.000 10.880
276 0.771343 1.311264 1.312359 0.000 0.000 11.390
277 0.782124 1.307009 1.325073 0.000 0.000 11.910
278 0.792422 1.302081 1.338118 0.000 0.000 12.420
279 0.802282 1.296500 1.351419 0.000 0.000 12.930
280 0.811747 1.290296 1.364901 0.000 0.000 13.430
281 0.820857 1.283506 1.378493 0.000 0.000 13.940
282 0.829652 1.276179 1.392129 0.000 0.000 14.450
283 0.838170 1.268367 1.405745 0.000 0.000 14.960
284 0.846447 1.260130 1.419280 0.000 0.000 15.470
285 0.854514 1.251531 1.432680 0.000 0.000 15.980
286 0.862402 1.242637 1.445890 0.000 0.000 16.490
287 0.870139 1.233515 1.458864 0.000 0.000 17.010
288 0.877749 1.224236 1.471554 0.000 0.000 17.530
289 0.885256 1.214866 1.483920 0.000 0.000 18.060
290 0.892681 1.205473 1.495924 0.000 0.000 18.590
291 0.900044 1.196120 1.507532 0.000 0.000 19.120
292 0.907364 1.186869 1.518714 0.000 0.000 19.660
293 0.914656 1.177775 1.529446 0.000 0.000 20.200
294 0.921938 1.168891 1.539705 0.000 0.000 20.740
295 0.929224 1.160265 1.549476 0.000 0.000 21.290
296 0.936529 1.151938 1.558746 0.000 0.000 21.850
297 0.943865 1.143947 1.567507 0.000 0.000 22.410
298 0.951245 1.136323 1.575756 0.000 0.000 22.970
299 0.958682 1.129092 1.583496 0.000 0.000 23.540
300 0.966186 1.122274 1.590733 0.000 0.000 24.110
301 0.973769 1.115884 1.597478 0.000 0.000 24.690
302 0.981442 1.109931 1.603745 0.000 0.000 25.270
303 0.989215 1.104418 1.609553 0.000 0.000 25.860
304 0.997103 1.099344 1.614924 0.000 0.000 26.450
305 1.005117 1.094704 1.619882 0.000 0.000 27.040
306 1.013274 1.090487 1.624453 0.000 0.000 27.640
307 1.021594 1.086678 1.628666 0.000 0.000 28.250
308 1.030097 1.083259 1.632548 0.000 0.000 28.860
309 1.038813 1.080210 1.636125 0.000 0.000 29.480
310 1.047774 1.077507 1.639424 0.000 0.000 30.110
311 1.057018 1.075126 1.642467 0.000 0.000 30.750
312 1.066593 1.073042 1.645273 0.000 0.000 31.390
313 1.076551 1.071232 1.647857 0.000 0.000 32.040
314 1.086953 1.069674 1.650229 0.000 0.000 32.710
316 1.097867 1.068349 1.652393 0.000 0.000 33.390
317 1.109368 1.067240 1.654345 0.000 0.000 34.090
325 1.121535 1.066338 1.656076 0.000 0.000 34.800
326 1.134454 1.065637 1.657571 0.000 0.000 35.530
327 1.148212 1.065136 1.658805 0.000 0.000 36.280
328 1.162898 1.064843 1.659749 0.000 0.000 37.050
329 1.178599 1.064768 1.660370 0.000 0.000 37.850
330 1.195398 1.064930 1.660627 0.000 0.000 38.680
331 1.213372 1.065352 1.660476 0.000 0.000 39.530
332 1.232588 1.066060 1.659872 0.000 0.000 40.410
333 1.253101 1.067083 1.658769 0.000 0.000 41.320
334 1.274955 1.068454 1.657118 0.000 0.000 42.260
335 1.298173 1.070202 1.654877 0.000 0.000 43.230
336 1.322763 1.072357 1.652005 0.000 0.000 44.230
337 1.348713 1.074946 1.648468 0.000 0.000 45.260
338 1.375987 1.077989 1.644238 0.000 0.000 46.320
339 1.404532 1.081502 1.639298 0.000 0.000 47.400
340 1.434272 1.085491 1.633638 0.000 0.000 48.510
341 1.465108 1.089954 1.627262 0.000 0.000 49.640
342 1.496923 1.094879 1.620186 0.000 0.000 50.780
343 1.529581 1.100243 1.612438 0.000 0.000 51.940
344 1.562929 1.106015 1.604060 0.000 0.000 53.110
345 1.596798 1.112150 1.595106 0.000 0.000 54.290
346 1.631009 1.118595 1.585643 0.000 0.000 55.460
347 1.665370 1.125288 1.575749 0.000 0.000 56.640
348 1.699685 1.132161 1.565512 0.000 0.000 57.810
349 1.733755 1.139137 1.555030 0.000 0.000 58.970
350 1.767377 1.146137 1.544405 0.000 0.000 60.110
351 1.800355 1.153079 1.533745 0.000 0.000 61.240
352 1.832496 1.159880 1.523160 0.000 0.000 62.340
354 1.863616 1.166461 1.512761 0.000 0.000 63.410
355 1.893543 1.172743 1.502655 0.000 0.000 64.460
356 1.922118 1.178657 1.492944 0.000 0.000 65.460
357 1.949201 1.184139 1.483723 0.000 0.000 66.440
358 1.974667 1.189134 1.475080 0.000 0.000 67.370
359 1.998412 1.193597 1.467089 0.000 0.000 68.260
360 2.020354 1.197495 1.459816 0.000 0.000 69.110
361 2.040432 1.200806 1.453309 0.000 0.000 69.910
362 2.058608 1.203519 1.447605 0.000 0.000 70.670
363 2.074867 1.205637 1.442726 0.000 0.000 71.380
364 2.089215 1.207172 1.438677 0.000 0.000 72.050
365 2.101683 1.208149 1.435449 0.000 0.000 72.680
366 2.112319 1.208603 1.433020 0.000 0.000 73.260
367 2.121196 1.208579 1.431349 0.000 0.000 73.800
368 2.128399 1.208130 1.430387 0.000 0.000 74.310
369 2.134035 1.207315 1.430068 0.000 0.000 74.780
370 2.138222 1.206201 1.430316 0.000 0.000 75.220
371 2.141091 1.204860 1.431043 0.000 0.000 75.620
372 2.142782 1.203366 1.432155 0.000 0.000 76.000
373 2.143444 1.201797 1.433546 0.000 0.000 76.360
374 2.143227 1.200230 1.435108 0.000 0.000 76.700
375 2.142285 1.198742 1.436725 0.000 0.000 77.030
376 2.140769 1.197409 1.438283 0.000 0.000 77.340
377 2.138825 1.196304 1.439664 0.000 0.000 77.640
378 2.136596 1.195493 1.440754 0.000 0.000 77.940
379 2.134210 1.195039 1.441442 0.000 0.000 78.240
380 2.131789 1.194996 1.441625 0.000 0.000 78.540
381 2.129439 1.195411 1.441205 0.000 0.000 78.850
382 2.127249 1.196321 1.440100 0.000 0.000 79.160
383 2.125296 1.197753 1.438234 0.000 0.000 79.480
384 2.123637 1.199722 1.435551 0.000 0.000 79.800
385 2.122313 1.202234 1.432008 0.000 0.000 80.140
386 2.121346 1.205280 1.427578 0.000 0.000 80.490
387 2.120743 1.208842 1.422255 0.000 0.000 80.850
388 2.120495 1.212887 1.416048 0.000 0.000 81.220
389 2.120576 1.217374 1.408986 0.000 0.000 81.600
390 2.120948 1.222248 1.401117 0.000 0.000 81.990
391 2.121563 1.227446 1.392502 0.000 0.000 82.380
392 2.122363 1.232896 1.383223 0.000 0.000 82.790
393 2.123281 1.238518 1.373371 0.000 0.000 83.190
394 2.124250 1.244229 1.363051 0.000 0.000 83.600
395 2.125197 1.249941 1.352379 0.000 0.000 84.010
396 2.126052 1.255564 1.341475 0.000 0.000 84.430
397 2.126746 1.261010 1.330465 0.000 0.000 84.830
398 2.127218 1.266193 1.319474 0.000 0.000 85.240
399 2.127410 1.271030 1.308627 0.000 0.000 85.640
400 2.127278 1.275448 1.298045 0.000 0.000 86.030
401 2.126784 1.279379 1.287843 0.000 0.000 86.410
402 2.125903 1.282766 1.278124 0.000 0.000 86.790
404 2.124622 1.285562 1.268984 0.000 0.000 87.150
405 2.122940 1.287731 1.260506 0.000 0.000 87.510
406 2.120866 1.289250 1.252760 0.000 0.000 87.850
407 2.118421 1.290105 1.245803 0.000 0.000 88.190
408 2.115638 1.290296 1.239678 0.000 0.000 88.510
409 2.112557 1.289833 1.234415 0.000 0.000 88.830
410 2.109223 1.288737 1.230033 0.000 0.000 89.140
411 2.105689 1.287036 1.226537 0.000 0.000 89.440
412 2.102011 1.284767 1.223923 0.000 0.000 89.740
415 2.098246 1.281973 1.222177 0.000 0.000 90.020
416 2.094452 1.278705 1.221276 0.000 0.000 90.310
417 2.090682 1.275014 1.221189 0.000 0.000 90.590
418 2.086990 1.270956 1.221882 0.000 0.000 90.870
419 2.083422 1.266587 1.223315 0.000 0.000 91.150
420 2.080019 1.261966 1.225442 0.000 0.000 91.420
421 2.076816 1.257148 1.228216 0.000 0.000 91.700
422 2.073842 1.252188 1.231589 0.000 0.000 91.970
423 2.071119 1.247140 1.235510 0.000 0.000 92.250
424 2.068661 1.242055 1.239928 0.000 0.000 92.520
425 2.066476 1.236979 1.244792 0.000 0.000 92.800
426 2.064568 1.231956 1.250050 0.000 0.000 93.080
427 2.062932 1.227026 1.255653 0.000 0.000 93.360
428 2.061563 1.222225 1.261552 0.000 0.000 93.640
429 2.060448 1.217585 1.267701 0.000 0.000 93.910
430 2.059574 1.213135 1.274055 0.000 0.000 94.190
431 2.058924 1.208897 1.280571 0.000 0.000 94.470
432 2.058480 1.204891 1.287209 0.000 0.000 94.750
433 2.058222 1.201134 1.293935 0.000 0.000 95.020
434 2.058130 1.197637 1.300713 0.000 0.000 95.300
435 2.058185 1.194408 1.307515 0.000 0.000 95.570
436 2.058367 1.191451 1.314313 0.000 0.000 95.830
437 2.058656 1.188769 1.321086 0.000 0.000 96.100
438 2.059034 1.186360 1.327812 0.000 0.000 96.350
439 2.059484 1.184221 1.334475 0.000 0.000 96.610
441 2.059988 1.182344 1.341062 0.000 0.000 96.850
442 2.060530 1.180722 1.347560 0.000 0.000 97.100
443 2.061095 1.179346 1.353961 0.000 0.000 97.330
444 2.061670 1.178204 1.360256 0.000 0.000 97.560
445 2.062242 1.177285 1.366440 0.000 0.000 97.790
446 2.062798 1.176577 1.372507 0.000 0.000 98.000
447 2.063329 1.176067 1.378452 0.000 0.000 98.210
448 2.063824 1.175744 1.384269 0.000 0.000 98.420
449 2.064274 1.175596 1.389954 0.000 0.000 98.620
450 2.064674 1.175610 1.395500 0.000 0.000 98.810
451 2.065016 1.175777 1.400901 0.000 0.000 99.000
452 2.065296 1.176085 1.406149 0.000 0.000 99.180
453 2.065510 1.176524 1.411236 0.000 0.000 99.350
454 2.065658 1.177085 1.416154 0.000 0.000 99.520
455 2.065739 1.177758 1.420891 0.000 0.000 99.690
456 2.065753 1.178534 1.425439 0.000 0.000 99.850
457 2.065702 1.179403 1.429787 0.000 0.000 100.010
458 2.065591 1.180354 1.433926 0.000 0.000 100.170
459 2.065423 1.181378 1.437845 0.000 0.000 100.320
460 2.065205 1.182463 1.441538 0.000 0.000 100.470
461 2.064944 1.183596 1.444995 0.000 0.000 100.610
463 2.064646 1.184764 1.448213 0.000 0.000 100.750
464 2.064319 1.185953 1.451186 0.000 0.000 100.880
465 2.063973 1.187145 1.453911 0.000 0.000 101.010
466 2.063616 1.188325 1.456390 0.000 0.000 101.140
467 2.063256 1.189475 1.458621 0.000 0.000 101.250
468 2.062903 1.190578 1.460609 0.000 0.000 101.360
469 2.062564 1.191615 1.462356 0.000 0.000 101.460
470 2.062249 1.192568 1.463868 0.000 0.000 101.550
471 2.061963 1.193421 1.465150 0.000 0.000 101.630
472 2.061715 1.194159 1.466207 0.000 0.000 101.700
473 2.061509 1.194767 1.467045 0.000 0.000 101.750
474 2.061350 1.195234 1.467669 0.000 0.000 101.790
475 2.061242 1.195550 1.468083 0.000 0.000 101.820
476 2.061187 1.195710 1.468289 0.000 0.000 101.840
